word_count,char_count,avg_word_length,positive_count,negative_count
22,134,6.090909090909091,0,0
6,28,4.666666666666667,1,0
9,49,5.444444444444445,1,0
2,11,5.5,0,0
13,66,5.076923076923077,0,0
17,87,5.117647058823529,0,0
25,130,5.2,0,0
1,10,10.0,0,0
26,138,5.3076923076923075,0,0
17,83,4.882352941176471,0,2
20,117,5.85,1,0
3,21,7.0,1,0
25,130,5.2,0,0
4,24,6.0,0,0
24,134,5.583333333333333,1,0
14,75,5.357142857142857,1,0
7,37,5.285714285714286,1,0
13,82,6.3076923076923075,0,0
18,90,5.0,0,0
19,115,6.052631578947368,0,0
10,59,5.9,0,0
16,101,6.3125,0,0
21,97,4.619047619047619,0,0
3,19,6.333333333333333,0,0
11,47,4.2727272727272725,0,0
29,136,4.689655172413793,1,0
6,35,5.833333333333333,0,0
14,91,6.5,0,0
3,18,6.0,0,0
17,84,4.9411764705882355,0,0
17,93,5.470588235294118,0,0
12,72,6.0,0,0
24,133,5.541666666666667,0,0
6,35,5.833333333333333,0,0
6,67,11.166666666666666,0,0
8,35,4.375,0,0
24,136,5.666666666666667,0,0
7,44,6.285714285714286,0,0
6,44,7.333333333333333,0,0
6,34,5.666666666666667,0,0
20,124,6.2,0,0
12,68,5.666666666666667,1,0
21,104,4.9523809523809526,0,0
6,34,5.666666666666667,0,0
21,104,4.9523809523809526,0,0
22,112,5.090909090909091,0,0
3,14,4.666666666666667,0,0
10,61,6.1,0,0
18,81,4.5,0,0
6,38,6.333333333333333,0,0
12,67,5.583333333333333,0,0
4,36,9.0,0,0
10,57,5.7,0,0
17,77,4.529411764705882,0,0
9,88,9.777777777777779,0,0
8,41,5.125,0,0
6,43,7.166666666666667,0,0
21,122,5.809523809523809,1,0
12,58,4.833333333333333,0,0
11,68,6.181818181818182,0,0
22,118,5.363636363636363,0,1
9,51,5.666666666666667,0,0
19,113,5.947368421052632,0,0
3,28,9.333333333333334,0,0
7,47,6.714285714285714,0,0
2,20,10.0,0,0
20,91,4.55,0,0
10,62,6.2,0,0
20,138,6.9,1,0
2,17,8.5,0,0
10,49,4.9,0,0
10,62,6.2,0,0
16,90,5.625,0,1
3,19,6.333333333333333,0,0
9,60,6.666666666666667,0,1
19,98,5.157894736842105,0,0
20,104,5.2,0,0
19,137,7.2105263157894735,0,0
10,55,5.5,0,0
11,52,4.7272727272727275,0,0
23,138,6.0,0,0
3,14,4.666666666666667,0,0
11,74,6.7272727272727275,0,0
4,21,5.25,0,0
25,133,5.32,0,0
19,127,6.684210526315789,0,0
1,13,13.0,0,0
12,70,5.833333333333333,0,0
7,37,5.285714285714286,0,0
15,84,5.6,1,0
7,32,4.571428571428571,0,0
14,69,4.928571428571429,0,0
12,66,5.5,0,0
27,138,5.111111111111111,0,0
24,136,5.666666666666667,0,0
28,141,5.035714285714286,0,0
4,25,6.25,0,0
12,51,4.25,0,0
18,103,5.722222222222222,0,0
23,136,5.913043478260869,0,0
17,85,5.0,0,0
13,82,6.3076923076923075,0,0
